TA,Drug,Drug.generic,Primary.therapeutic.area,Primary.disease,Route,Budget.impact,Cost.min,Cost.effectiveness,high.unmet.need.,STA.type...PBAC.,Eligible.patient.count,G.BA.Assessment.Date..new.,PBAC.decision.date,time.from.GBA.to.PBS.listing,First.listing.date...edited..new.
Liver cancer,Cabometyx,cabozantinib,Oncology,Liver cancer,Oral,High,Any,Yes,Any,Extension of indication,NA,43435,43700,-,indication not listed
Renal cancer,Cabometyx,cabozantinib,Oncology,Renal cancer,Oral,High,Any,Yes,Any,Extension of indication,NA,42675,43581,-,indication not listed
Endocrine and metabolic diseases,Cal-500,calcium carbonate,Endocrine and metabolic diseases,Mineral disorders,0,Moderate,Any,No,Any,Original,NA,-,41754,-,indication not listed
Blood Cancer,Calquence,acalabrutinib,Oncology,Leukemia,Oral,Moderate,Any,No,Any,Original,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,Carbaglu,carglumic acid,Endocrine and metabolic diseases,Aminoacid disorders,Oral,Low,Any,Yes,Any,Original,NA,-,42186,-,indication not listed
Endocrine and metabolic diseases,Cerdelga,eliglustat,Endocrine and metabolic diseases,Sphingolipid-related disorders,Oral,Moderate,Any,No,Any,Original,NA,42095,42186,-,indication not listed
Endocrine and metabolic diseases,Claris Lifesciences Zoledronic Acid,zoledronic acid,Endocrine and metabolic diseases,Mineral disorders,Parenteral,Low,Any,No,Any,Original,NA,37012,43329,-,indication not listed
Cardiovascular,Clexane,enoxaparin,Cardiovascular,Embolism and thrombosis,Parenteral,Low,Any,No,Any,Original,NA,-,43581,-,indication not listed
Demyelinating disorders,Copaxone,glatiramer acetate,Central nervous system,Demyelinating disorders,Parenteral,Moderate,Any,Yes,Any,Extension of indication,NA,-,42965,-,indication not listed
Cardiovascular,Coralan,ivabradine,Cardiovascular,Heart failure,Oral,Low,Any,No,Any,Extension of indication,NA,-,42065,-,indication not listed
Skin cancer,"Cotellic, Zelboraf","cobimetinib, vemurafenib",Oncology,Skin cancer,Oral,Moderate,Any,No,Any,Original,NA,-,42552,-,indication not listed
Gastric cancer,Cyramza,ramucirumab,Oncology,Gastric cancer,Parenteral,Moderate,Any,Yes,Any,Original,NA,42036,43210,-,indication not listed
Endocrine and metabolic diseases,Cystadane,betaine,Endocrine and metabolic diseases,Aminoacid disorders,0,Moderate,Any,No,Any,Original,NA,-,41754,-,indication not listed
Derm,Daivobet,"calcipotriol, combinations",Skin,Psoriasis,Transdermal,Moderate,Any,No,Any,Original,NA,-,41579,-,indication not listed
Derm,Daivobet,"calcipotriol, combinations",Skin,Psoriasis,Transdermal,Moderate,Any,No,Any,Original,NA,-,41334,-,indication not listed
Blood Cancer,Darzalex,daratumumab,Oncology,Plasmocytoma,Parenteral,Low,Any,Yes,Any,Original,NA,42522,43084,-,indication not listed
Endocrine and metabolic diseases,Diabex XR,metformin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,41610,-,indication not listed
Derm,Dupixent,dupilumab,Skin,Dermatitis and eczema,Parenteral,High,Any,Yes,Any,Original,NA,43070,43329,-,indication not listed
Migraine,Emgality,galcanezumab,Central nervous system,Migraine,Parenteral,High,Any,No,Any,Original,NA,43556,43700,-,indication not listed
Endocrine and metabolic diseases,"empagliflozin (INN), metformin (INN), Synjardy","empagliflozin, metformin, empagliflozin + metformin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,42433,-,indication not listed
Prostate cancer,Erlyand,apalutamide,Oncology,Prostate cancer,Oral,High,Any,Yes,Any,Original,NA,43497,43448,-,indication not listed
Uterine cancer,Esmya,ulipristal,Oncology,Uterine cancer,Oral,Low,Any,No,Any,Original,NA,-,42601,-,indication not listed
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,High,Any,No,Any,Original,10000,43647,42065,-,indication not listed
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,0,High,Any,No,Any,Extension of indication,10000,43586,41821,-,indication not listed
Blood and immune system,Fulphila,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Low,Any,No,Any,Original,NA,-,43329,-,indication not listed
Convulsions,Fycompa,perampanel,Central nervous system,Convulsions,Oral,Moderate,Any,Yes,Any,Original,NA,41153,42601,-,indication not listed
Endocrine and metabolic diseases,Galvumet,metformin + vildagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,41487,-,indication not listed
Endocrine and metabolic diseases,Galvus,vildagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Low,Any,No,Any,Original,NA,39356,41487,-,indication not listed
Lung cancer,Giotrif,afatinib,Oncology,Lung cancer,Oral,Low,Any,Yes,Any,Original,NA,41579,41486,-,indication not listed
Lung cancer,Giotrif,afatinib,Oncology,Lung cancer,Oral,Low,Any,No,Any,Original,NA,41579,41486,-,indication not listed
Sarcoma,Glivec,imatinib,Oncology,Sarcoma,Oral,High,Any,No,Any,Extension of indication,NA,-,42065,-,indication not listed
Angiomyolipoma,Hemangiol,propranolol,Oncology,Angiomyolipoma,Oral,Low,Any,No,Any,Original,NA,-,42065,-,indication not listed
Breast cancer,Herzuma,trastuzumab,Oncology,Breast cancer,Parenteral,Low,Any,No,Any,Original,NA,-,43700,-,indication not listed
NA,Humira,adalimumab,Skin,Follicular disorders,Parenteral,High,Any,Yes,Any,Extension of indication,NA,-,42720,-,indication not listed
Derm,Humira,adalimumab,Skin,Psoriasis,Parenteral,High,Any,Yes,Any,Extension of indication,NA,-,41334,-,indication not listed
Blood and immune system,Ilaris,canakinumab,Blood and immune system,Cryopyrin-associated periodic syndrome (CAPS),Parenteral,Moderate,Any,No,Any,Extension of indication,NA,-,43040,-,indication not listed
Urothelial tract (UT) cancer,Imfinzi,durvalumab,Oncology,Urothelial tract (UT) cancer,Parenteral,Moderate,Any,No,Any,Extension of indication,NA,43374,43700,-,indication not listed
Skin cancer,Imlygic,talimogene laherparepvec (t-vec),Oncology,Skin cancer,Parenteral,Moderate,Any,No,Any,Original,NA,42522,42601,-,indication not listed
Respiratory,Inspiolto Respimat,tiotropium + olodaterol,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,No,Any,Original,NA,42217,42186,-,indication not listed
Blood Cancer,Istodax,romidepsin,Oncology,Lymphoma,Parenteral,Low,Any,Yes,Any,Original,NA,-,42720,-,indication not listed
Polycythemia,Jakavi,ruxolitinib,Oncology,Polycythemia,Oral,High,Any,Yes,Any,Extension of indication,NA,42095,43819,-,indication not listed
Blood and immune system,Jakavi,ruxolitinib,Blood and immune system,Splenomegaly,0,High,Any,Yes,Any,Original,100000,41760,41456,-,indication not listed
Endocrine and metabolic diseases,Janumet,metformin + sitagliptin,Endocrine and metabolic diseases,Diabetes,Oral,High,Any,No,Any,Original,NA,39661,41610,-,indication not listed
Endocrine and metabolic diseases,"Janumet, Januvia","metformin + sitagliptin, sitagliptin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Extension of indication,NA,-,42186,-,indication not listed
Endocrine and metabolic diseases,"Janumet, Januvia, Segluromet, Steglatro, Steglujan","metformin + sitagliptin, sitagliptin, ertugliflozin + metformin, ertugliflozin, ertugliflozin + sitagliptin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,43329,-,indication not listed
Endocrine and metabolic diseases,Jardiance,empagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,High,Any,No,Any,Original,NA,42430,42433,-,indication not listed
Endocrine and metabolic diseases,Jentadueto,metformin + linagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,100000,-,41334,-,indication not listed
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,High,Any,No,Any,Extension of indication,10000,43709,43581,-,indication not listed
Breast cancer,Kanjinti,trastuzumab,Oncology,Breast cancer,Parenteral,Low,Any,No,Any,Original,NA,-,43700,-,indication not listed
Skin cancer,Keytruda,pembrolizumab,Oncology,Skin cancer,Parenteral,Low,Any,No,Any,Extension of indication,NA,43556,43945,-,indication not listed
Colorectal cancer,Keytruda,pembrolizumab,Oncology,Colorectal cancer,Parenteral,High,Any,Yes,Any,Extension of indication,NA,42217,43581,-,indication not listed
Blood Cancer,Keytruda,pembrolizumab,Oncology,Lymphoma,Parenteral,High,Any,Yes,Any,Extension of indication,NA,42217,43448,-,indication not listed
Head and neck cancer,Keytruda,pembrolizumab,Oncology,Head and neck cancer,Parenteral,High,Any,No,Any,Extension of indication,NA,43800,43329,-,indication not listed
Bladder cancer,Keytruda,pembrolizumab,Oncology,Bladder cancer,Parenteral,High,Any,Yes,Any,Extension of indication,NA,42217,43084,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Extension of indication,100000,41214,42186,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,100000,41214,41579,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Extension of indication,100000,41214,41365,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,100000,41214,41334,-,indication not listed
Renal cancer,Lenvima,lenvatinib,Oncology,Renal cancer,Oral,High,Any,Yes,Any,Extension of indication,NA,42644,43084,-,indication not listed
Prostate cancer,Lerin,leuprorelin,Oncology,Prostate cancer,Implant,High,Any,No,Any,Original,NA,-,43700,-,indication not listed
Lung cancer,Lorviqua,lorlatinib,Oncology,Lung cancer,Oral,Moderate,Any,No,Any,Original,NA,-,43819,-,indication not listed
Endocrine and metabolic diseases,Lucentis,ranibizumab,Endocrine and metabolic diseases,Diabetes,Ophthalmic,High,Any,Yes,Any,Extension of indication,NA,-,41334,-,indication not listed
Fallopian cancer,Lynparza,olaparib,Oncology,Fallopian cancer,Oral,Moderate,Any,Yes,Any,Extension of indication,NA,43252,43819,-,indication not listed
Endocrine and metabolic diseases,Lyxumia,lixisenatide,Endocrine and metabolic diseases,Diabetes,Parenteral,Moderate,Any,No,Any,Original,NA,-,41852,-,indication not listed
Demyelinating disorders,Mayzent,siponimod,Central nervous system,Demyelinating disorders,Oral,High,Any,Yes,Any,Original,NA,-,43819,-,indication not listed
Skin cancer,Mekinist,trametinib,Oncology,Skin cancer,Oral,High,Any,Yes,Any,Original,NA,42278,41754,-,indication not listed
Skin cancer,"Mekinist, Tafinlar","trametinib, dabrafenib",Oncology,Skin cancer,Oral,Moderate,Any,Yes,Any,Extension of indication,NA,43374,43581,-,indication not listed
Breast cancer,Nerlynx,neratinib maleate,Oncology,Breast cancer,Oral,High,Any,Yes,Any,Original,NA,43800,43581,-,indication not listed
Blood and immune system,Neulasta,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,High,Any,Yes,Any,Original,NA,-,42965,-,indication not listed
Respiratory,Nucala,mepolizumab,Respiratory,Obstructive respiratory disorders,Parenteral,High,Any,No,Any,Extension of indication,NA,42401,43084,-,indication not listed
Breast cancer,Ogivri,trastuzumab,Oncology,Breast cancer,Parenteral,Moderate,Any,No,Any,Original,NA,-,43581,-,indication not listed
Endocrine and metabolic diseases,Omnitrope,somatropin,Endocrine and metabolic diseases,Pituitary gland disorders,0,Low,Any,No,Any,Original,NA,-,41754,-,indication not listed
Endocrine and metabolic diseases,Onglyza,saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Low,Any,No,Any,Extension of indication,NA,41365,42186,-,indication not listed
Pancreatic cancer,Onivyde,irinotecan,Oncology,Pancreatic cancer,Parenteral,Low,Any,Yes,Any,Original,NA,-,42720,-,indication not listed
Breast cancer,Ontruzant,trastuzumab,Oncology,Breast cancer,Parenteral,Low,Any,No,Any,Original,NA,-,43581,-,indication not listed
Renal cancer,"Opdivo, Yervoy","nivolumab, ipilimumab",Oncology,Renal cancer,Parenteral,Moderate,Any,Yes,Any,Extension of indication,NA,-,43329,-,indication not listed
Skin cancer,"Opdivo, Yervoy","nivolumab, ipilimumab",Oncology,Skin cancer,Parenteral,High,Any,Yes,Any,Original,NA,-,42326,-,indication not listed
ENT,Oralair,allergen extract,ENT,Rhinitis,Sublingual/buccal/oromucosal,Low,Any,Yes,Any,Original,NA,-,42601,-,indication not listed
Derm,Otezla,apremilast,Skin,Psoriasis,Oral,Low,Any,Yes,Any,Original,NA,42036,42088,-,indication not listed
Endocrine and metabolic diseases,Ozempic,semaglutide,Endocrine and metabolic diseases,Diabetes,Parenteral,High,Any,Yes,Any,Original,NA,43405,43819,-,indication not listed
Blood and immune system,Pelgraz,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,High,Any,No,Any,Original,NA,-,43945,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,High,Any,No,Any,Extension of indication,NA,43282,43945,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,High,Any,Yes,Any,Extension of indication,NA,43282,43329,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,High,Any,Yes,Any,Original,NA,41365,41699,-,indication not listed
Blood Cancer,Polivy,polatuzumab vedotin,Oncology,Lymphoma,Parenteral,High,Any,Yes,Any,Original,NA,-,43819,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,High,Any,No,Any,Extension of indication,NA,41518,43700,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,High,Any,No,Any,Original,NA,41518,42846,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,High,Any,No,Any,Extension of indication,NA,41518,42458,-,indication not listed
Endocrine and metabolic diseases,Praluent,alirocumab,Endocrine and metabolic diseases,Dyslipidemia,Parenteral,Moderate,Any,Yes,Any,Original,NA,42309,43084,-,indication not listed
Endocrine and metabolic diseases,Qtern,saxagliptin + dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Low,Any,No,Any,Original,NA,-,42965,-,indication not listed
Cardiovascular,Ranexa,ranolazine,Cardiovascular,Coronary heart diseases,Oral,Moderate,Any,Yes,Any,Original,NA,-,42846,-,indication not listed
Endocrine and metabolic diseases,Renvela,sevelamer,Endocrine and metabolic diseases,Mineral disorders,Oral,Moderate,Any,No,Any,Original,NA,-,43084,-,indication not listed
Blood Cancer,Revlimid,lenalidomide,Oncology,Lymphoma,Oral,High,Any,Yes,Any,Original,NA,-,42601,-,indication not listed
Alzheimer's Disease,"Risperdal, Risperdal Consta, Risperdal Quicklet, risperidone (INN)","risperidone, risperidone, risperidone, risperidone",Central nervous system,Alzheimer's Disease,Oral,Moderate,Any,No,Any,Extension of indication,NA,-,42433,-,indication not listed
Endocrine and metabolic diseases,Rosuzet,ezetimibe + rosuvastatin,Endocrine and metabolic diseases,Dyslipidemia,Oral,Moderate,Any,No,Any,Original,NA,-,41821,-,indication not listed
Endocrine and metabolic diseases,Rosuzet,ezetimibe + rosuvastatin,Endocrine and metabolic diseases,Dyslipidemia,0,Moderate,Any,No,Any,Original,NA,-,41610,-,indication not listed
Lung cancer,Rozlytrek,entrectinib,Oncology,Lung cancer,Oral,Moderate,Any,No,Any,Original,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,"Ryzodeg FlexTouch, Ryzodeg Penfill","insulin degludec + insulin aspart, insulin degludec + insulin aspart",Endocrine and metabolic diseases,Diabetes,Parenteral,Moderate,Any,No,Any,Original,NA,-,43084,-,indication not listed
Endocrine and metabolic diseases,Saizen,somatropin,Endocrine and metabolic diseases,Pituitary gland disorders,Parenteral,Low,Any,No,Any,Original,NA,-,42720,-,indication not listed
Demyelinating disorders,Sativex,cannabinoids,Central nervous system,Demyelinating disorders,0,Low,Any,No,Any,Original,NA,40725,41456,-,indication not listed
Endocrine and metabolic diseases,"Segluromet, Steglatro","ertugliflozin + metformin, ertugliflozin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,43210,-,indication not listed
Cardiovascular,Sevikar,olmesartan medoxomil + amlodipine,Cardiovascular,Blood pressure disorders,0,Low,Any,No,Any,Original,NA,42826,41456,-,indication not listed
Respiratory,Spiolto Respimat,tiotropium + olodaterol,Respiratory,Obstructive respiratory disorders,Inhalation,High,Any,No,Any,Extension of indication,NA,42217,42720,-,indication not listed
Blood Cancer,Sprycel,dasatinib,Oncology,Leukemia,Oral,High,Any,No,Any,Extension of indication,NA,-,43581,-,indication not listed
Blood Cancer,Sprycel,dasatinib,Oncology,Leukemia,Oral,High,Any,No,Any,Extension of indication,NA,-,41852,-,indication not listed
Derm,Staquis,crisaborole,Skin,Dermatitis and eczema,Topical,Low,Any,Yes,Any,Original,200000,-,43448,-,indication not listed
Liver cancer,Stivarga,regorafenib,Oncology,Liver cancer,Oral,Low,Any,Yes,Any,Extension of indication,NA,-,43210,-,indication not listed
Sarcoma,Stivarga,regorafenib,Oncology,Sarcoma,Oral,Low,Any,Yes,Any,Original,NA,-,42065,-,indication not listed
Colorectal cancer,Stivarga,regorafenib,Oncology,Colorectal cancer,Oral,Low,Any,Yes,Any,Original,NA,41548,41821,-,indication not listed
Endocrine and metabolic diseases,Strensiq,asfotase alfa,Endocrine and metabolic diseases,Mineral disorders,Parenteral,Moderate,Any,Yes,Any,Original,NA,43739,42965,-,indication not listed
Respiratory,Striverdi Respimat,olodaterol,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,No,Any,Original,NA,41760,41821,-,indication not listed
Respiratory,"Symbicort Rapihaler, Symbicort Turbohaler","budesonide + eformoterol, budesonide + formoterol",Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,Yes,Any,Extension of indication,NA,-,43700,-,indication not listed
Endocrine and metabolic diseases,Symdeko,tezacaftor + ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Low,Any,No,Any,Extension of indication,15,43435,43819,-,indication not listed
Lung cancer,Tagrisso,osimertinib,Oncology,Lung cancer,Oral,High,Any,Yes,Any,Extension of indication,NA,43282,43700,-,indication not listed
Blood and immune system,Takhzyro,lanadelumab,Blood and immune system,Immunodeficiency,Parenteral,High,Any,No,Any,Original,NA,43497,43700,-,indication not listed
Breast cancer,Talzenna,talazoparib tosylate,Oncology,Breast cancer,Oral,Moderate,Any,Yes,Any,Original,NA,-,43819,-,indication not listed
Breast cancer,Tecentriq,atezolizumab,Oncology,Breast cancer,Parenteral,High,Any,Yes,Any,Extension of indication,NA,43739,43945,-,indication not listed
Demyelinating disorders,Tecfidera,dimethyl fumarate,Central nervous system,Demyelinating disorders,0,High,Any,No,Any,Original,NA,41699,41456,-,indication not listed
Endocrine and metabolic diseases,Toujeo,insulin glargine,Endocrine and metabolic diseases,Diabetes,Parenteral,Low,Any,Yes,Any,Original,NA,-,42220,-,indication not listed
Endocrine and metabolic diseases,"Trajenta, Trajentamet","linagliptin, linagliptin + metformin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,-,42552,-,indication not listed
Endocrine and metabolic diseases,"Trajenta, Trajentamet","linagliptin, linagliptin + metformin",Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Extension of indication,NA,-,42461,-,indication not listed
Breast cancer,Trazimera,trastuzumab,Oncology,Breast cancer,Parenteral,High,Any,No,Any,Original,NA,-,43819,-,indication not listed
Respiratory,Trelegy Ellipta,fluticasone furoate + umeclidinium + vilanterol,Respiratory,Obstructive respiratory disorders,Inhalation,Low,Any,Yes,Any,Extension of indication,NA,43160,43581,-,indication not listed
Endocrine and metabolic diseases,Trulicity,dulaglutide,Endocrine and metabolic diseases,Diabetes,Parenteral,High,Any,No,Any,Extension of indication,NA,42036,43819,-,indication not listed
Breast cancer,Tykerb,lapatinib,Oncology,Breast cancer,0,Low,Any,No,Any,Original,NA,-,42356,-,indication not listed
Demyelinating disorders,Tysabri,natalizumab,Central nervous system,Demyelinating disorders,Parenteral,Low,Any,No,Any,Extension of indication,NA,-,43700,-,indication not listed
Demyelinating disorders,Tysabri,natalizumab,Central nervous system,Demyelinating disorders,0,High,Any,No,Any,Extension of indication,NA,-,41754,-,indication not listed
Cardiovascular,Uptravi,selexipag,Cardiovascular,Pulmonary heart diseases,Oral,Moderate,Any,Yes,Any,Original,NA,42522,42482,-,indication not listed
Blood Cancer,Uvadex,methoxsalen,Oncology,Lymphoma,Parenteral,Moderate,Any,No,Any,Original,NA,-,42948,-,indication not listed
Cardiovascular,Veletri,epoprostenol,Cardiovascular,Pulmonary heart diseases,Parenteral,Low,Any,No,Any,Original,NA,-,41944,-,indication not listed
Endocrine and metabolic diseases,Veltassa,patiromer,Endocrine and metabolic diseases,Mineral disorders,Oral,High,Any,Yes,Any,Original,NA,43191,43819,-,indication not listed
Blood Cancer,Venclexta,venetoclax,Oncology,Leukemia,Oral,Moderate,Any,No,Any,Extension of indication,NA,43435,43945,-,indication not listed
Cardiovascular,Xarelto,rivaroxaban,Cardiovascular,Cardiac disorders,Oral,High,Any,Yes,Any,Extension of indication,NA,-,43581,-,indication not listed
Blood Cancer,Xgeva,denosumab,Oncology,Plasmocytoma,Parenteral,High,Any,Yes,Any,Extension of indication,NA,-,43329,-,indication not listed
Endocrine and metabolic diseases,Xgeva,denosumab,Endocrine and metabolic diseases,Mineral disorders,Parenteral,High,Any,Yes,Any,Original,NA,-,42482,-,indication not listed
Endocrine and metabolic diseases,Xigduo,metformin + dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,43647,42965,-,indication not listed
Endocrine and metabolic diseases,Xigduo,metformin + dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Moderate,Any,No,Any,Original,NA,43647,41821,-,indication not listed
Prostate cancer,Xofigo,radium (223ra) dichloride,Oncology,Prostate cancer,Parenteral,High,Any,No,Any,Original,NA,41640,43084,-,indication not listed
Prostate cancer,Xtandi,enzalutamide,Oncology,Prostate cancer,Oral,High,Any,Yes,Any,Extension of indication,NA,42005,42326,-,indication not listed
Colorectal cancer,Zaltrap,aflibercept,Oncology,Colorectal cancer,Parenteral,High,Any,Yes,Any,Original,NA,41334,41456,-,indication not listed
Blood and immune system,Ziextenzo,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Low,Any,No,Any,Original,NA,-,43819,-,indication not listed
Breast cancer,Zoladex,goserelin,Oncology,Breast cancer,Implant,High,Any,No,Any,Extension of indication,NA,-,42846,-,indication not listed
Endocrine and metabolic diseases,Abasaglar,insulin glargine,Endocrine and metabolic diseases,Diabetes,Parenteral,High,Any,No,No,Any,NA,-,42065,-,indication not listed
Cardiovascular,Adempas,riociguat,Cardiovascular,Pulmonary heart diseases,Oral,Moderate,Any,No,No,Any,10000,41760,41699,-,indication not listed
Migraine,Aimovig,erenumab,Central nervous system,Migraine,Parenteral,High,Any,Yes,No,Any,400000,43405,43329,-,indication not listed
Respiratory,AirFluSal Forspiro,salmeterol + fluticasone,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,No,No,Any,NA,-,42720,-,indication not listed
Migraine,Ajovy,fremanezumab,Central nervous system,Migraine,Parenteral,Low,Any,Yes,No,Any,NA,43586,43819,-,indication not listed
Respiratory,Anoro Ellipta,vilanterol + umeclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,No,No,Any,50000,41821,41962,-,indication not listed
Respiratory,Anoro Ellipta,vilanterol + umeclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Any,No,No,Any,50000,41821,41699,-,indication not listed
Blood Cancer,Aplidin,plitidepsin,Oncology,Plasmocytoma,Parenteral,High,Any,Yes,No,Any,NA,-,43700,-,indication not listed
Parkinson's disease,Apomine,apomorphine,Central nervous system,Parkinson's disease,Parenteral,Low,Any,No,No,Any,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,Arginine Easy,arginine hydrochloride,Endocrine and metabolic diseases,Aminoacid disorders,Oral,Moderate,Any,No,No,Any,NA,-,43084,-,indication not listed
Respiratory,Arnuity Ellipta,fluticasone furoate,Respiratory,Obstructive respiratory disorders,Inhalation,Low,Any,No,No,Any,NA,39508,42311,-,indication not listed
Endocrine and metabolic diseases,Atozet Composite Pack,atorvastatin + ezetimibe,Endocrine and metabolic diseases,Dyslipidemia,0,Moderate,Any,No,No,Any,NA,-,41946,-,indication not listed
Demyelinating disorders,Avonex,interferon beta-1a,Central nervous system,Demyelinating disorders,0,Low,Any,No,No,Any,NA,-,41754,-,indication not listed
Renal cancer,Bavencio,avelumab,Oncology,Renal cancer,Parenteral,Moderate,Any,No,No,Any,NA,43800,43945,-,indication not listed
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Low,Any,No,Yes,Any,NA,42917,43630,-,indication not listed
Skin cancer,"Braftovi, Mektovi","encorafenib, binimetinib",Oncology,Skin cancer,Oral,Moderate,Any,No,No,Any,NA,-,43448,-,indication not listed
Respiratory,Breo Ellipta,fluticasone furoate + vilanterol,Respiratory,Obstructive respiratory disorders,Inhalation,High,Any,No,No,Any,NA,41640,41754,-,indication not listed
Convulsions,Briviact,brivaracetam,Central nervous system,Convulsions,Oral,Low,Any,No,Yes,Any,NA,42401,43819,-,indication not listed
Epilepsy,Briviact,brivaracetam,Central nervous system,Epilepsy,Oral,Low,Any,No,No,Any,NA,42401,42601,-,indication not listed
Endocrine and metabolic diseases,Bronchitol,mannitol,Endocrine and metabolic diseases,Cystic fibrosis,Inhalation,Low,Any,Yes,No,Any,NA,-,42965,-,indication not listed
Endocrine and metabolic diseases,Bronchitol,mannitol,Endocrine and metabolic diseases,Cystic fibrosis,Inhalation,Low,Any,No,No,Any,NA,-,42186,-,indication not listed
Liver cancer,Cabometyx,cabozantinib,Oncology,Liver cancer,Oral,High,Any,Yes,No,Any,NA,43435,43700,-,indication not listed
Renal cancer,Cabometyx,cabozantinib,Oncology,Renal cancer,Oral,High,Any,Yes,No,Any,NA,42675,43581,-,indication not listed
Endocrine and metabolic diseases,Cal-500,calcium carbonate,Endocrine and metabolic diseases,Mineral disorders,0,Moderate,Any,No,No,Any,NA,-,41754,-,indication not listed
Blood Cancer,Calquence,acalabrutinib,Oncology,Leukemia,Oral,Moderate,Any,No,No,Any,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,Carbaglu,carglumic acid,Endocrine and metabolic diseases,Aminoacid disorders,Oral,Low,Any,Yes,No,Any,NA,-,42186,-,indication not listed
Endocrine and metabolic diseases,Cerdelga,eliglustat,Endocrine and metabolic diseases,Sphingolipid-related disorders,Oral,Moderate,Any,No,No,Any,NA,42095,42186,-,indication not listed
Endocrine and metabolic diseases,Claris Lifesciences Zoledronic Acid,zoledronic acid,Endocrine and metabolic diseases,Mineral disorders,Parenteral,Low,Any,No,No,Any,NA,37012,43329,-,indication not listed
Cardiovascular,Clexane,enoxaparin,Cardiovascular,Embolism and thrombosis,Parenteral,Low,Any,No,No,Any,NA,-,43581,-,indication not listed
Demyelinating disorders,Copaxone,glatiramer acetate,Central nervous system,Demyelinating disorders,Parenteral,Moderate,Any,Yes,No,Any,NA,-,42965,-,indication not listed
Cardiovascular,Coralan,ivabradine,Cardiovascular,Heart failure,Oral,Low,Any,No,No,Any,NA,-,42065,-,indication not listed
